Function,Label,Size label,Chunk size,Max GB/s,Min GB/s,Avg GB/s
ReadSuccessiveSizes_go,go,1KB,1024,237.914655,143.039049,225.029367
ReadSuccessiveSizes_go,go,2KB,2048,226.023901,155.480139,218.487764
ReadSuccessiveSizes_go,go,4KB,4096,220.080238,146.062413,214.317150
ReadSuccessiveSizes_go,go,8KB,8192,215.657785,151.955398,210.926637
ReadSuccessiveSizes_go,go,16KB,16384,215.538911,145.463619,208.872019
ReadSuccessiveSizes_go,go,32KB,32768,214.816443,134.919723,207.448768
ReadSuccessiveSizes_go,go,64KB,65536,100.384498,76.548259,95.868274
ReadSuccessiveSizes_go,go,128KB,131072,97.478704,75.701599,95.010046
ReadSuccessiveSizes_go,go,256KB,262144,101.102500,72.020322,95.489198
ReadSuccessiveSizes_go,go,512KB,524288,60.247354,50.394871,57.053410
ReadSuccessiveSizes_go,go,1MB,1048576,56.015007,49.714600,55.388728
ReadSuccessiveSizes_go,go,2MB,2097152,56.011085,47.777600,55.396981
ReadSuccessiveSizes_go,go,4MB,4194304,56.007462,36.235478,54.224449
ReadSuccessiveSizes_go,go,8MB,8388608,40.745036,15.030153,33.034006
ReadSuccessiveSizes_go,go,16MB,16777216,16.993474,10.515934,13.381511
ReadSuccessiveSizes_go,go,32MB,33554432,12.448593,10.293340,11.611470
ReadSuccessiveSizes_go,go,64MB,67108864,11.933509,9.403980,10.826522
ReadSuccessiveSizes_go,go,128MB,134217728,11.401441,9.722722,10.724010
ReadSuccessiveSizes_go,go,256MB,268435456,12.150601,9.894262,10.752669
ReadSuccessiveSizes_go,go,512MB,536870912,11.599677,9.402712,10.727005
ReadSuccessiveSizes_go,go,1GB,1073741824,12.196992,9.875889,10.846788
ReadSuccessiveSizes,nasm,1KB,1024,230.408853,109.664307,215.549049
ReadSuccessiveSizes,nasm,2KB,2048,215.546183,136.907744,209.452719
ReadSuccessiveSizes,nasm,4KB,4096,213.953736,156.478318,207.370863
ReadSuccessiveSizes,nasm,8KB,8192,210.535235,171.113274,207.030692
ReadSuccessiveSizes,nasm,16KB,16384,209.771098,132.230010,206.546928
ReadSuccessiveSizes,nasm,32KB,32768,209.430142,141.062029,206.625714
ReadSuccessiveSizes,nasm,64KB,65536,100.592327,78.559017,96.303998
ReadSuccessiveSizes,nasm,128KB,131072,98.016634,74.003528,95.109038
ReadSuccessiveSizes,nasm,256KB,262144,97.016972,76.546504,94.659047
ReadSuccessiveSizes,nasm,512KB,524288,62.013143,51.631844,59.573550
ReadSuccessiveSizes,nasm,1MB,1048576,59.084290,51.179399,57.968527
ReadSuccessiveSizes,nasm,2MB,2097152,59.099216,52.259168,58.102844
ReadSuccessiveSizes,nasm,4MB,4194304,59.093212,46.783692,57.828492
ReadSuccessiveSizes,nasm,8MB,8388608,41.152367,24.919930,36.651396
ReadSuccessiveSizes,nasm,16MB,16777216,17.454258,11.248724,12.940515
ReadSuccessiveSizes,nasm,32MB,33554432,12.205647,9.288944,10.796220
ReadSuccessiveSizes,nasm,64MB,67108864,11.687065,9.318832,10.473073
ReadSuccessiveSizes,nasm,128MB,134217728,11.622537,9.169060,10.239181
ReadSuccessiveSizes,nasm,256MB,268435456,11.434551,9.106243,10.223094
ReadSuccessiveSizes,nasm,512MB,536870912,11.600194,9.098418,10.269438
ReadSuccessiveSizes,nasm,1GB,1073741824,11.336297,9.082537,10.105920
